date,compliance1,compliance2,compliance3
2020-04-25,-0.42700000000000005,0.719,0.72703125
2020-04-26,-0.4363095948669444,0.7202970670782569,0.72512819867737
2020-04-27,-0.4482644362849445,0.7206919141007158,0.7235373697786932
2020-04-28,-0.46286452425400015,0.7201845410673764,0.7222587633039694
2020-04-29,-0.47616857090182435,0.7196798294441614,0.7210031023249919
2020-04-30,-0.4842352883561293,0.7200826606969928,0.7194811099135525
2020-05-01,-0.48706467661691544,0.7213930348258707,0.7176927860696517
2020-05-02,-0.4846567356841825,0.723610951830795,0.7156381307932895
2020-05-03,-0.47701146555793056,0.7267364117117657,0.7133171440844656
2020-05-04,-0.46412886623815974,0.7307694144687832,0.7107298259431802
2020-05-05,-0.4502020813960633,0.7352007949445833,0.7078709358394231
2020-05-06,-0.4394242547028353,0.7395213879819031,0.7047352332431843
2020-05-07,-0.43179538615847546,0.7437311935807422,0.7013227181544635
2020-05-08,-0.4273154757629838,0.7478302117411009,0.6976333905732606
2020-05-09,-0.4259845235163603,0.7518184424629791,0.693667250499576
2020-05-10,-0.4278025294186051,0.7556958857463768,0.6894242979334095
2020-05-11,-0.43238977985368576,0.7594335112710822,0.6849289129016963
2020-05-12,-0.4374679931254075,0.7628571371158239,0.6803273755660469
2020-05-13,-0.442657455617738,0.76593773296039,0.6756440659533964
2020-05-14,-0.4479581673306773,0.7686752988047809,0.670878984063745
2020-05-15,-0.4533701282642254,0.7710698346489965,0.6660321298970928
2020-05-16,-0.4588933384183822,0.7731213404930365,0.6611035034534394
2020-05-17,-0.4645277977931478,0.774829816336901,0.6560931047327849
2020-05-18,-0.47027350638852217,0.7761952621805901,0.6510009337351296
2020-05-19,-0.4761304642045052,0.7772176780241038,0.6458269904604732
2020-05-20,-0.48209867124109723,0.7778970638674421,0.6405712749088158
2020-05-21,-0.48817812749829775,0.7782334197106049,0.6352337870801574
2020-05-22,-0.49420354115007153,0.778436274724861,0.629839644351569
2020-05-23,-0.5000096203703825,0.7787151580814791,0.6244139641001216
2020-05-24,-0.5055963651592312,0.7790700697804593,0.6189567463258152
2020-05-25,-0.5109637755166173,0.7795010098218015,0.61346799102865
2020-05-26,-0.5161118514425409,0.7800079782055058,0.6079476982086257
2020-05-27,-0.5210405929370018,0.780590974931572,0.6023958678657424
2020-05-28,-0.5257499999999999,0.78125,0.5968125
2020-05-29,-0.5302400726315357,0.7819850534107904,0.5911975946113988
2020-05-30,-0.534510810831609,0.7827961351639425,0.5855511516999385
2020-05-31,-0.5385622146002197,0.7836832452594569,0.5798731712656193
2020-06-01,-0.5423942839373678,0.7846463836973332,0.5741636533084411
2020-06-02,-0.5460070188430532,0.7856855504775714,0.5684225978284039
2020-06-03,-0.5494004193172763,0.7868007456001718,0.5626500048255078
2020-06-04,-0.5525744853600367,0.787991969065134,0.5568458742997526
2020-06-05,-0.5555292169713346,0.7892592208724585,0.5510102062511385
2020-06-06,-0.5582646141511698,0.7906025010221448,0.5451430006796654
2020-06-07,-0.5607806768995426,0.7920218095141932,0.5392442575853333
2020-06-08,-0.5630774052164527,0.7935171463486035,0.5333139769681421
2020-06-09,-0.5651547991019004,0.795088511525376,0.527352158828092
2020-06-10,-0.5670128585558852,0.7967359050445104,0.521358803165183
